metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N_D61,< 10,13.0,< 10,< 10,1334.0
%_D61,< 0.21%,0.28%,< 0.21%,< 0.21%,0.08%
N_Q32,< 10,< 10,< 10,< 10,27.0
%_Q32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N45,< 10,< 10,< 10,< 10,153.0
%_N45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L01,< 10,< 10,< 10,< 10,108.0
%_L01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L24,< 10,< 10,< 10,< 10,91.0
%_L24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S65,< 10,< 10,< 10,< 10,12.0
%_S65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R21,< 10,15.0,< 10,18.0,1596.0
%_R21,< 0.21%,0.32%,< 0.21%,0.39%,0.1%
N_H81,< 10,< 10,< 10,< 10,335.0
%_H81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_F17,< 10,10.0,< 10,< 10,791.0
%_F17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_C43,< 10,< 10,< 10,< 10,983.0
%_C43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_T79,< 10,< 10,< 10,< 10,67.0
%_T79,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L42,< 10,< 10,< 10,< 10,13.0
%_L42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P39,< 10,< 10,< 10,< 10,< 10
%_P39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M71,< 10,< 10,< 10,< 10,198.0
%_M71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L80,< 10,< 10,< 10,< 10,40.0
%_L80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L74,< 10,< 10,< 10,< 10,36.0
%_L74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B47,< 10,< 10,< 10,< 10,< 10
%_B47,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N12,< 10,< 10,< 10,< 10,470.0
%_N12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_F14,< 10,< 10,< 10,< 10,536.0
