metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N_T41,< 10,< 10,< 10,< 10,< 10
%_T41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z30,< 10,< 10,< 10,< 10,901.0
%_Z30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_I16,< 10,< 10,< 10,< 10,370.0
%_I16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_D70,< 10,17.0,14.0,24.0,3340.0
%_D70,< 0.21%,0.36%,0.3%,0.51%,0.21%
N_F22,< 10,< 10,< 10,< 10,179.0
%_F22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z75,< 10,< 10,< 10,< 10,< 10
%_Z75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z28,< 10,< 10,< 10,< 10,208.0
%_Z28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S01,< 10,< 10,< 10,< 10,953.0
%_S01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_IMO0002,< 10,< 10,< 10,< 10,380.0
%_IMO0002,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I73,21.0,56.0,22.0,53.0,5729.0
%_I73,0.45%,1.2%,0.47%,1.13%,0.36%
N_S81,< 10,< 10,< 10,< 10,237.0
%_S81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_A28,< 10,< 10,< 10,< 10,< 10
%_A28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C24,< 10,< 10,< 10,< 10,552.0
%_C24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_C13,< 10,< 10,< 10,< 10,103.0
